t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
6.9000000,-0.7225483,-1.1544087,-0.7225483,-1.1544087,-0.9103620,-1.0847851,5.6253949
7.0500000,-0.7225483,-1.3984411,-0.7225483,-1.3984411,-0.8385935,-1.2052032,5.4778887
7.1500000,-0.3958022,-1.4699945,-0.3958022,-1.4699945,-0.7580585,-1.2688527,5.5302553
7.3000000,-0.2489732,-1.4699945,-0.2489732,-1.4699945,-0.5971474,-1.3457519,5.6844680
7.4000000,-0.1497780,-1.5272403,-0.1497780,-1.5272403,-0.4860337,-1.3885718,5.7655153
7.5500000,0.0499918,-1.5907641,-0.1497780,-1.5272403,-0.3563773,-1.4420283,5.8159411
7.6500000,-0.1497780,-1.5748832,-0.1497780,-1.5748832,-0.2990766,-1.4788797,5.7936289
7.7500000,0.1497780,-1.5748832,0.1497780,-1.5748832,-0.1752127,-1.5051862,5.8985344
7.9000000,0.1497780,-1.5662398,0.1497780,-1.5662398,-0.0313009,-1.5291636,5.9899580
8.0500000,0.4440281,-1.5662398,0.4440281,-1.5662398,0.1197919,-1.5433568,6.0779078
8.1500000,0.4440281,-1.5013989,0.4440281,-1.5013989,0.2093748,-1.5399124,6.1472020
8.3000000,0.4440281,-1.4389104,0.4440281,-1.4389104,0.2993072,-1.5156304,6.2598740
8.4000000,0.4440281,-1.4389104,0.4440281,-1.4389104,0.3391134,-1.4943426,6.3314798
8.5500000,0.4440281,-1.3675698,0.4440281,-1.3675698,0.3788328,-1.4532398,6.4574562
8.6500000,0.9754719,-1.3125703,0.9754719,-1.3125703,0.5443458,-1.4142142,6.4853467
8.8000000,1.0894906,-1.2363799,1.0894906,-1.2363799,0.7421799,-1.3538879,6.5405308
8.9000000,1.0894906,-1.0984779,1.0894906,-1.0984779,0.8377271,-1.3008462,6.6283710
9.0000000,1.0894906,-1.0984779,1.0894906,-1.0984779,0.9070646,-1.2448999,6.7188238
9.1500000,1.3163396,-1.0984779,1.3163396,-1.0984779,1.0401757,-1.1885103,6.6967647
9.2500000,1.3699135,-1.0984779,1.3699135,-1.0984779,1.1315610,-1.1635753,6.6540490
9.4000000,1.4400770,-0.8880633,1.4400770,-0.8880633,1.2419067,-1.0805410,6.7714530
9.5500000,1.4974583,-0.7135907,1.4974583,-0.7135907,1.3328340,-0.9588074,6.9610714
9.6500000,1.4974583,-0.4752494,1.4974583,-0.4752494,1.3782141,-0.8910192,7.0369478
9.8000000,1.5719548,-0.3621113,1.5719548,-0.3621113,1.4337249,-0.7155277,7.2805878
