t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
2.8000000,-0.2489732,1.5719548,0.4163154,1.3643113,0.0761466,1.5591679,2.9145902
2.9000000,-0.3958022,1.5415480,0.2944978,1.3908968,-0.0138902,1.5626778,2.9666121
3.0500000,-0.5391181,1.4974583,0.0631694,1.3908968,-0.1608725,1.5544708,3.0619345
3.1500000,-0.5391181,1.4974583,0.0631694,1.3908968,-0.2654601,1.5386306,3.1354269
3.3000000,-0.6776488,1.4400770,-0.0479534,1.3982739,-0.4090767,1.5068363,3.2301541
3.4000000,-0.8101646,1.3699135,-0.1622850,1.3940198,-0.5031461,1.4778265,3.2948047
3.5500000,-0.9354893,1.2875905,-0.2782657,1.3780554,-0.6399893,1.4239247,3.3892710
3.6500000,-1.0525105,1.1938388,-0.3944024,1.3504229,-0.7218152,1.3861401,3.4404495
3.8000000,-1.1601896,1.0894906,-0.3944024,1.2780142,-0.8490600,1.3120625,3.5347998
3.9000000,-1.1601896,1.0894906,-0.3944024,1.2780142,-0.9350597,1.2504507,3.6078214
4.0500000,-1.2575708,0.9754719,-0.5238777,1.2326328,-1.0485885,1.1569054,3.7021146
4.1500000,-1.3437896,0.8527948,-0.6468645,1.1756571,-1.1192339,1.0883441,3.7665695
4.3000000,-1.4180809,0.7225483,-0.7625469,1.1076908,-1.2166894,0.9781852,3.8608379
4.4000000,-1.4797852,0.5858884,-0.8701327,1.0294205,-1.2724416,0.9073681,3.9119352
4.5500000,-1.5283549,0.4440281,-0.9688660,0.9416116,-1.3521856,0.7835940,4.0061926
4.6500000,-1.5283549,0.4440281,-0.9688660,0.9416116,-1.4008401,0.6896533,4.0791695
4.8000000,-1.5633587,0.2982266,-1.0580399,0.8451039,-1.4595253,0.5547619,4.1734216
4.9000000,-1.5844861,0.1497780,-1.1370068,0.7408050,-1.4913442,0.4616006,4.2378581
5.0500000,-1.5915494,0.0000000,-1.2051882,0.6296842,-1.5281661,0.3192041,4.3321079
5.1500000,-1.5844861,-0.1497780,-1.2620829,0.5127649,-1.5456911,0.2307945,4.3831975
5.3000000,-1.5633587,-0.2982266,-1.3072743,0.3911162,-1.5605510,0.0843079,4.4774462
5.4000000,-1.5633587,-0.2982266,-1.3072743,0.3911162,-1.5612540,-0.0214826,4.5504189
5.5500000,-1.5283549,-0.4440281,-1.3686241,0.3911162,-1.5523035,-0.1683142,4.6446671
5.6500000,-1.4797852,-0.5858884,-1.3852983,0.2445655,-1.5383598,-0.2657670,4.7091019
5.8000000,-1.4180809,-0.7225483,-1.3902157,0.0994984,-1.5065217,-0.4093600,4.8033498
5.9000000,-1.3437896,-0.8527948,-1.3832518,-0.0433456,-1.4819994,-0.4960897,4.8544387
6.0500000,-1.2575708,-0.9754719,-1.3643996,-0.1831645,-1.4287361,-0.6333565,4.9486866
6.1500000,-1.2575708,-0.9754719,-1.3643996,-0.1831645,-1.3813347,-0.7279357,5.0216588
6.3000000,-1.1601896,-1.0894906,-1.3337681,-0.3191134,-1.3066995,-0.8547001,5.1159066
6.4000000,-1.0525105,-1.1938388,-1.2915795,-0.4503222,-1.2500330,-0.9352009,5.1803412
