t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
6.9000000,-0.7225483,-1.2029680,-0.7225483,-1.2029680,-0.9114927,-1.0834047,5.5566562
7.0000000,-0.7225483,-1.4105809,-0.7225483,-1.4105809,-0.8595716,-1.1737048,5.4557031
7.1500000,-0.3958022,-1.4105809,-0.3958022,-1.4105809,-0.7589830,-1.2636534,5.5134846
7.3000000,-0.2982266,-1.4105809,-0.2982266,-1.4105809,-0.5929225,-1.3388762,5.6857640
7.4000000,-0.0999342,-1.4994949,-0.0999342,-1.4994949,-0.5116411,-1.3584622,5.7777683
7.5500000,-0.0999342,-1.5685358,-0.0999342,-1.5685358,-0.3530098,-1.4231171,5.8274489
7.6500000,-0.0999342,-1.5685358,-0.0999342,-1.5685358,-0.2827984,-1.4634623,5.8108843
7.7500000,-0.0999342,-1.5804985,-0.0999342,-1.5804985,-0.2320680,-1.4944071,5.7964362
7.9000000,-0.0999342,-1.5676437,-0.0999342,-1.5676437,-0.1810858,-1.5240578,5.7894090
8.0000000,-0.0999342,-1.5381771,-0.0999342,-1.5381771,-0.0798652,-1.5288797,5.9356789
8.1500000,-0.0999342,-1.4943832,-0.0999342,-1.4943832,-0.0876515,-1.5258826,5.9359890
8.2500000,-0.0999342,-1.4943832,-0.0999342,-1.4943832,-0.0910963,-1.5171287,5.9596408
8.4000000,-0.0999342,-1.4371565,-0.0999342,-1.4371565,-0.0948732,-1.4861636,6.0548180
8.5000000,0.8527948,-1.4371565,0.8527948,-1.4371565,0.1654171,-1.4721204,6.2456711
8.6500000,1.0144918,-1.4371565,1.0144918,-1.4371565,0.4547638,-1.4586261,6.3023829
8.7500000,1.0894906,-1.2986730,1.0894906,-1.2986730,0.6205669,-1.4319330,6.3793238
8.9000000,1.0894906,-1.1140512,1.0894906,-1.1140512,0.7994257,-1.3532261,6.5615128
9.0000000,1.2875905,-1.1140512,1.2875905,-1.1140512,0.8788441,-1.2872209,6.6893222
9.1500000,1.2875905,-1.1140512,1.2875905,-1.1140512,1.0365688,-1.2203992,6.6867837
9.2500000,1.3946854,-0.9403930,1.3946854,-0.9403930,1.1218224,-1.1650499,6.7449625
9.4000000,1.3946854,-0.7433348,1.3946854,-0.7433348,1.2248082,-1.0251519,6.9766662
9.5500000,1.4974583,-0.6412265,1.4974583,-0.6412265,1.3184012,-0.8885100,7.0997596
9.6500000,1.5415480,-0.5185144,1.5415480,-0.5185144,1.3745213,-0.8016865,7.1579488
9.8000000,1.5719548,-0.5185144,1.5719548,-0.5185144,1.4434561,-0.6925139,7.2054560
9.9000000,1.5719548,-0.5185144,1.5719548,-0.5185144,1.4791143,-0.6442293,7.2078185
10.0500000,1.5719548,-0.1671224,1.5719548,-0.1671224,1.5137401,-0.5000487,7.3860370
10.1500000,1.5884089,-0.1335283,1.5884089,-0.1335283,1.5321589,-0.4030607,7.4693948
10.2500000,1.5789996,-0.1665012,1.5789996,-0.1665012,1.5463144,-0.3333212,7.5104691
10.4000000,1.5415480,-0.2811517,1.5415480,-0.2811517,1.5589141,-0.2689865,7.5408683
10.5000000,1.5415480,-0.2811517,1.5415480,-0.2811517,1.5540921,-0.2723716,7.5527306
10.6500000,1.4974583,-0.2811517,1.4974583,-0.2811517,1.5369750,-0.2759062,7.6040743
10.7500000,1.4400770,-0.4794003,1.4400770,-0.4794003,1.5173766,-0.3072061,7.6435971
10.9000000,1.3699135,-0.6447824,1.3699135,-0.6447824,1.4769745,-0.3987484,7.7190594
11.0000000,1.2875905,-0.7901358,1.2875905,-0.7901358,1.4472283,-0.4673745,7.7905590
11.1500000,1.2263099,-0.9023138,1.2263099,-0.9023138,1.3765973,-0.6113868,8.0295341
11.3000000,1.0894906,-1.1601896,1.2263099,-1.0312517,1.3196306,-0.7268734,8.3123947
11.4000000,1.0894906,-1.0312517,1.0894906,-1.0312517,1.2598571,-0.8173596,8.6378804
