t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
12.6500000,-0.1497780,-1.5844861,0.5228943,-1.3566730,0.2310610,-1.5351073,3.7946964
12.8000000,-0.2982266,-1.5633587,0.3997261,-1.3876759,0.0857397,-1.5531185,3.5820645
12.9000000,-0.2982266,-1.5633587,0.3997261,-1.3876759,-0.0197053,-1.5555064,3.4509500
13.0500000,-0.4440281,-1.5283549,0.2731630,-1.4087777,-0.1666678,-1.5485859,3.3024951
13.1500000,-0.5858884,-1.4797852,0.1443053,-1.4194289,-0.2643019,-1.5356135,3.2134505
13.3000000,-0.7225483,-1.4180809,-0.0962466,-1.4194289,-0.4082217,-1.5048081,3.0941047
13.4000000,-0.8527948,-1.3437896,-0.2097288,-1.4080830,-0.4951858,-1.4807601,3.0326424
13.5500000,-0.9754719,-1.2575708,-0.3245903,-1.3855061,-0.6326969,-1.4279800,2.9263578
13.6500000,-0.9754719,-1.2575708,-0.3245903,-1.3855061,-0.7273969,-1.3807968,2.8474882
13.8000000,-1.0894906,-1.1601896,-0.4393253,-1.3517087,-0.8543228,-1.3063800,2.7477562
13.9000000,-1.1938388,-1.0525105,-0.4393253,-1.2686812,-0.9349047,-1.2498098,2.6808112
14.0500000,-1.2875905,-0.9354893,-0.5665651,-1.2187024,-1.0484866,-1.1563466,2.5839822
14.1500000,-1.3699135,-0.8101646,-0.6870674,-1.1574217,-1.1146797,-1.0951619,2.5318193
14.3000000,-1.4400770,-0.6776488,-0.8000188,-1.0854558,-1.2128544,-0.9854258,2.4363104
14.4000000,-1.4400770,-0.6776488,-0.8000188,-1.0854558,-1.2756287,-0.9002703,2.3627143
14.5500000,-1.4974583,-0.5391181,-0.9046347,-1.0035051,-1.3547199,-0.7762355,2.2678830
14.6500000,-1.5415480,-0.3958022,-1.0001717,-0.9123497,-1.4007333,-0.6892051,2.2031795
14.8000000,-1.5719548,-0.2489732,-1.0859392,-0.8128432,-1.4593914,-0.5543277,2.1086536
14.9000000,-1.5884089,-0.0999342,-1.0859392,-0.6150110,-1.4905377,-0.4697500,2.0574487
15.0500000,-1.5907641,0.0499918,-1.1616629,-0.5152606,-1.5281370,-0.3273933,1.9630638
15.1500000,-1.5907641,0.0499918,-1.1616629,-0.5152606,-1.5453838,-0.2230160,1.8900235
15.3000000,-1.5789996,0.1994740,-1.2774738,-0.5152606,-1.5595163,-0.0765924,1.7957120
15.4000000,-1.5532198,0.3471858,-1.3188357,-0.3858936,-1.5609909,0.0218418,1.7312479
15.5500000,-1.5136535,0.4918158,-1.3480584,-0.2542372,-1.5520092,0.1686475,1.6369696
15.6500000,-1.4606519,0.6320805,-1.3649474,-0.1212895,-1.5413571,0.2581456,1.5858681
15.8000000,-1.3946854,0.7667348,-1.3694081,0.0119141,-1.5102235,0.4020548,1.4916053
15.9000000,-1.3946854,0.7667348,-1.3694081,0.0119141,-1.4782015,0.5028848,1.4186256
16.0500000,-1.3163396,0.8945835,-1.3546816,0.0119141,-1.4243158,0.6397642,1.3243708
16.1500000,-1.2263099,1.0144918,-1.3354258,0.1623008,-1.3809402,0.7281386,1.2599330
16.3000000,-1.1253954,1.1253954,-1.3039213,0.3067650,-1.3062878,0.8548651,1.1656819
16.4000000,-1.0144918,1.2263099,-1.2605069,0.4446967,-1.2561649,0.9297722,1.1145917
16.5500000,-0.8945835,1.3163396,-1.2056184,0.5754431,-1.1630908,1.0438614,1.0203423
16.6500000,-0.8945835,1.3163396,-1.2056184,0.5754431,-1.0887828,1.1191638,0.9473692
16.8000000,-0.7667348,1.3946854,-1.2056184,0.8027829,-0.9786281,1.2166604,0.8531207
16.9000000,-0.6320805,1.4606519,-1.2056184,0.9853415,-0.8998590,1.2757103,0.7886858
17.0500000,-0.4918158,1.5136535,-1.0985480,1.0645883,-0.7758104,1.3547329,0.6944376
17.1500000,-0.3471858,1.5532198,-0.9858436,1.1378830,-0.6971435,1.3987202,0.6433487
17.3000000,-0.1994740,1.5789996,-0.8678882,1.2040505,-0.5624183,1.4581196,0.5491007
17.4000000,-0.1994740,1.5789996,-0.8678882,1.2040505,-0.4620229,1.4914794,0.4761284
17.5500000,-0.0499918,1.5907641,-0.7452037,1.2620575,-0.3196118,1.5283403,0.3818806
17.6500000,0.0999342,1.5884089,-0.7452037,1.3526200,-0.2226199,1.5451937,0.3174460
